start,low,high,open,close,volume
1737453000,3264.36,3270.61,3264.93,3265.19,168.9453968
1737453300,3264.45,3273.28,3264.81,3272.89,289.24320845
1737453600,3267.9,3278.86,3273,3277.63,294.15411111
1737453900,3275.7,3285.51,3277.63,3282.75,1075.96980864
1737454200,3276.8,3286.34,3282.79,3277.59,332.87693646
1737454500,3276.32,3281.66,3277.59,3279.39,213.74758593
1737454800,3278.27,3285.22,3280.45,3280.85,207.66636126
1737455100,3280.62,3291.52,3280.9,3290.14,240.64249809
1737455400,3280.34,3291,3289.87,3287.85,268.90440668
1737455700,3285.71,3295.71,3288.18,3294.1,442.82383906
1737456000,3285.46,3296.89,3294.35,3286.08,114.99385
1737456300,3282.95,3290.48,3285.99,3288.88,197.56538252
1737456600,3287.8,3305.3,3289.31,3304.66,332.47255403
1737456900,3299,3305.32,3304.73,3299.79,280.92250203
1737457200,3293.84,3300.64,3299.43,3299.66,166.56809025
1737457500,3297.13,3301.98,3299.98,3301.34,166.69324983
1737457800,3300.31,3306.08,3301.62,3304.89,408.61074501
1737458100,3302.66,3310.52,3305.43,3304.76,223.21392047
1737458400,3299.48,3305.99,3304.3,3300.55,120.54149471
1737458700,3299.67,3309.37,3300.45,3306.5,262.84399581
1737459000,3295.28,3309.19,3306.17,3295.94,344.76292978
1737459300,3295.51,3304.2,3295.65,3301.24,167.9437006
1737459600,3295.34,3303.46,3301.46,3295.7,428.61098793
1737459900,3289.24,3297.07,3295.54,3296.65,258.02059041
1737460200,3296.63,3305.67,3296.96,3304.98,188.0419799
1737460500,3300.22,3305.64,3304.99,3301.91,233.06884056
1737460800,3291.03,3303.81,3301.94,3293.11,229.35641858
1737461100,3290.33,3295.37,3293.1,3291.47,497.49508852
1737461400,3290.49,3299.2,3291.47,3298.08,189.37164282
1737461700,3297.73,3323.76,3298.1,3320.77,1256.42266108
1737462000,3310.57,3322.66,3320.77,3310.64,738.52406488
1737462300,3307.92,3313.74,3310.8,3312.4,344.94165873
1737462600,3296.75,3312.92,3312.64,3297.84,673.94849282
1737462900,3295.94,3308.5,3298.14,3302.02,246.60817834
1737463200,3298.84,3305.27,3302.01,3304.48,190.39387797
1737463500,3297.23,3305.05,3304.35,3301.1,445.87996382
1737463800,3296.35,3307.59,3301.09,3304.29,672.060968
1737464100,3302.46,3308.32,3304.51,3303.85,225.20510191
1737464400,3298.78,3307.82,3303.85,3299.58,312.95247236
1737464700,3286.45,3299.49,3299.49,3290.7,846.1353187
1737465000,3290.1,3300,3290.1,3298.3,204.14777704
1737465300,3297.94,3311.34,3298.16,3307.21,273.20618074
1737465600,3301.75,3310.26,3307.21,3301.75,567.00152665
1737465900,3293.71,3303.31,3301.97,3296.66,325.42723554
1737466200,3290.4,3297.44,3296.28,3296.07,364.6267946
1737466500,3290.55,3301.91,3296.08,3298.34,738.5164072
1737466800,3292.52,3300.79,3298.33,3300.33,419.00988544
1737467100,3299.78,3307.73,3300.35,3304.81,532.58496374
1737467400,3296.6,3304.91,3304.83,3299.54,300.72490144
1737467700,3297.9,3306.57,3300.35,3306.21,566.19294678
1737468000,3302.07,3307.35,3306.16,3305.82,217.79644695
1737468300,3300,3309.78,3305.82,3302.45,182.83316313
1737468600,3299.53,3309.87,3302.08,3309.56,157.65180815
1737468900,3308.59,3316.85,3309.22,3312.2,357.95373799
1737469200,3311.28,3329.74,3312.01,3322.05,909.96657935
1737469500,3319.85,3331.69,3322.1,3330.88,1346.63273086
1737469800,3304.86,3333,3330.87,3306.05,1866.35584868
1737470100,3278.36,3305.15,3305.15,3282.73,1636.99562125
1737470400,3275.54,3304.36,3282.87,3299.22,986.41156367
